Performance indicator,Performance,Publication Year,Average_Performance
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.0035580158170088775, 0.028213779372246933]",0.8333333333333286,0.2883683761741948
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.003129138135950887, 0.028213637543947075]",0.8333333333333286,0.28822536967107554
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.0031252568899684616, 0.028213644547813735]",0.8333333333333286,0.28822407825703694
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.0033911222397645917, 0.028213723341313654]",0.8333333333333286,0.28831272630480226
['Meanabsoluteerror'],0.008712347208836263,0.8888888888888857,0.448800618048861
['Meanabsoluteerror'],0.005490793009724581,0.8888888888888857,0.44718984094930514
['Meanabsoluteerror'],0.0053467345908485946,0.8888888888888857,0.44711781173986714
"['Rootmeansquareerror', 'Absoluteerror']","[0.02821439746347965, 0.006616905350337446]",0.9444444444444429,0.32642524908608667
"['Rootmeansquareerror', 'Absoluteerror']","[0.028217043174110345, 0.003049359670144727]",0.9444444444444429,0.32523694909623263
"['Rootmeansquareerror', 'Absoluteerror']","[0.028214709135546006, 0.0015509904844637848]",0.9444444444444429,0.32473671468815085
['Rootmeansquareerror'],0.02821350447048054,0.5555555555555571,0.29188453001301884
['Rootmeansquareerror'],0.028213513225313864,0.5555555555555571,0.2918845343904355
['Relativeerror'],0.0,0.38888888888888573,0.19444444444444287
['Absoluteerror'],0.11212706884203713,0.8888888888888857,0.5005079788654614
['Absoluteerror'],0.025435708813354038,0.8888888888888857,0.45716229885111986
['Absoluteerror'],1.0,0.8888888888888857,0.9444444444444429
['Not available'],0.0,0.8888888888888857,0.44444444444444287
['Not available'],0.0,0.8333333333333286,0.4166666666666643
['Not available'],0.0,0.8333333333333286,0.4166666666666643
"['Rootmeansquareerror', 'Absoluteerror', 'Accuracy']","[0.028229155923756608, 0.6642270600123618, 0.01109879518072289]",0.8888888888888857,0.3981109750014318
"['Rootmeansquareerror', 'Absoluteerror', 'Accuracy']","[0.02822421718220086, 0.43509430361062384, 0.012489156626506022]",0.8888888888888857,0.3411741415770541
"['Rootmeansquareerror', 'Absoluteerror', 'Accuracy']","[0.028229155923756608, 0.6642270600123618, 0.01109879518072289]",0.8888888888888857,0.3981109750014318
